,AILIHEN C8 Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Laptop Computer PC Mp3/4 (Grey/Mint)
6,"These headphones have great sound for the price. But after a short period of listening, they become uncomfortable and painful to the outsides of my ears. I've tried adjusting them every-which-way, with the same results. I don't have unusually large or small ears, but maybe these headphones just don't fit me correctly."
7,"Love the color! My son loved that he could control his iPad with the controls on the cord. I like how compact they fold & I do not hear his utube videos when he is laying next to me wearing them. These fit both of my boys...Bought for my almost 6 year old, but my 11 year old like to steal them too!"
8,I bought these headphones to use at work for my music streaming on my cell phone. I absolutely love them! They fit really nicely on my ears and are very lightweight. I highly recommend them.
9,"Worked less than a year & wouldn't ya know, by the time I was able to get to the return process, it was too late :/ Crazy thkng is, I bought a set for each of us & they all crashed around the same time. I guess they're supposed to only last long enough to get you past the allowable return time."
0,These are awful. They are way too big and they hurt my head and ears. They look nice and are soft to the touch.
1,These broke off in our iPad within 1 week of using. Super disappointed and a waste of money.
2,"Bought these for my daughter and she loves them! They are comfortable, a great color and have awesome features like volume control. A great price too!"
3,"Well made, adjustable, foldable...and my kiddos favorite color. Highly recommend."
4,"High quality, great sound, and no problems. 5/5, came exactly as expected."
5,1 month and both pair i purchased went out....completely nothing works on it
6,stopped working after two months
7,Perfect just what my wife wanted
8,Very good for the price. Have Beats Solo and SkullCandy Bluetooth...these perform just as well.
9,I like them very much
0,"Decent headphones for the price. I thought I was buying ""around the ear"" headphones. These are ""on ear"". Less comfortable and less sound isolation."
